type,name,model,price,collision
Meubles & Rangement,Coffre de rangement tressé,prop_devin_box_closed,358,TRUE
Arcade & Jeu,Air Hockey,prop_airhockey_01,847,TRUE
Arcade & Jeu,Borne d'arcade,ch_prop_arcade_street_01c,618,TRUE
Arcade & Jeu,Borne d'arcade,ch_prop_arcade_street_01a,793,TRUE
Arcade & Jeu,Borne d'arcade,ch_prop_arcade_degenatron_01a,562,TRUE
Arcade & Jeu,Borne d'arcade,prop_arcade_01,501,TRUE
Arcade & Jeu,Borne d'arcade,ch_prop_arcade_street_01b,745,TRUE
Arcade & Jeu,Borne d'arcade,ch_prop_arcade_penetrator_01a,597,TRUE
Arcade & Jeu,Borne d'arcade Invade and Persuade,ch_prop_arcade_invade_01a,944,TRUE
Arcade & Jeu,Borne d'arcade Monkey's Paradise,ch_prop_arcade_monkey_01a,743,TRUE
Arcade & Jeu,Borne d'arcade QUB3D,sum_prop_arcade_qub3d_01a,790,TRUE
Arcade & Jeu,Borne d'arcade The Wizard's Ruin,ch_prop_arcade_wizard_01a,981,TRUE
Arcade & Jeu,Borne d'arcade Space Monkey 3,ch_prop_arcade_space_01a,595,TRUE
Arcade & Jeu,Borne d'arcade Street Crimes bleue,ch_prop_arcade_street_01d,582,TRUE
Arcade & Jeu,Jukebox année 50,prop_50s_jukebox,998,TRUE
Arcade & Jeu,Jukebox,prop_jukebox_02,633,TRUE
Arcade & Jeu,Table de billard - Rouge,prop_pooltable_3b,922,TRUE
Arcade & Jeu,Table de billard - Verte,prop_pooltable_02,628,TRUE
Arcade & Jeu,Arcade de course base 1,ch_prop_arcade_race_01a,894,TRUE
Arcade & Jeu,Arcade de course base 2,ch_prop_arcade_race_01b,620,TRUE
Arcade & Jeu,Arcade de course base 3,ch_prop_arcade_race_02a,559,TRUE
Arcade & Jeu,Arcade de course moto 1,ch_prop_arcade_race_bike_02a,592,TRUE
Arcade & Jeu,Arcade de course voiture 1,ch_prop_arcade_race_car_01a,812,TRUE
Arcade & Jeu,Arcade de course voiture 2,ch_prop_arcade_race_car_01b,829,TRUE
Arcade & Jeu,Arcade de course camion 1,ch_prop_arcade_race_truck_01a,587,TRUE
Arcade & Jeu,Arcade de course camion 2,ch_prop_arcade_race_truck_01b,793,TRUE
Arcade & Jeu,Arcade 2,prop_arcade_02,826,TRUE
Arcade & Jeu,Distributeur de bonbons,prop_gumball_03,837,TRUE
Arcade & Jeu,Jukebox 1,prop_jukebox_01,644,TRUE
Arcade & Jeu,Arcade 7,ch_prop_arcade_love_01a,723,TRUE
Arcade & Jeu,Diseuse de bonne aventure,ch_prop_arcade_fortune_01a,773,TRUE
Arcade & Jeu,Arcade 6,ch_prop_arcade_gun_01a,680,TRUE
Arcade & Jeu,Jukebox 3,ch_prop_arcade_jukebox_01a,607,TRUE
Arcade & Jeu,Basketball arcade,prop_bball_arcade_01,897,TRUE
Arcade & Jeu,Jukebox de club 1,bkr_prop_clubhouse_jukebox_01a,833,TRUE
Arcade & Jeu,Gatcha ! UwU,ch_prop_arcade_claw_01a,581,TRUE
Arcade & Jeu,Gumball Machine,prop_gumball_01,762,TRUE
Arcade & Jeu,Gumball Machine,prop_gumball_02,831,TRUE
Audiovisuel & Hi-Fi,Lecteur DVD,v_res_tre_dvdplayer,100,TRUE
Audiovisuel & Hi-Fi,Appareil photo,prop_ing_camera_01,100,TRUE
Audiovisuel & Hi-Fi,Appareil photo de paparazzi,prop_pap_camera_01,150,TRUE
Audiovisuel & Hi-Fi,Unité d'éclairage flash,prop_flash_unit,50,TRUE
Audiovisuel & Hi-Fi,Rack de Guitare,sf_prop_sf_guitars_rack_01a,1200,TRUE
Audiovisuel & Hi-Fi,Télécommande TV,v_res_tre_remote,120,TRUE
Audiovisuel & Hi-Fi,Téléviseur grand écran avec support,apa_mp_h_str_avunits_01,1200,TRUE
Audiovisuel & Hi-Fi,Haut-parleur de scène moyen,v_club_roc_cab2,500,TRUE
Audiovisuel & Hi-Fi,Téléviseur mural à écran plat,prop_tv_flat_michael,700,TRUE
Audiovisuel & Hi-Fi,Haut-parleur de scène large,v_club_roc_cab1,600,TRUE
Audiovisuel & Hi-Fi,Lecteur de cassettes noir,prop_tapeplayer_01,300,TRUE
Audiovisuel & Hi-Fi,Petit téléviseur,prop_trev_tv_01,250,TRUE
Audiovisuel & Hi-Fi,Microphone de table,prop_table_mic_01,150,TRUE
Audiovisuel & Hi-Fi,Caméra de studio TV,prop_v_cam_01,500,TRUE
Audiovisuel & Hi-Fi,Grand haut-parleur pour PC,v_res_pcwoofer,400,TRUE
Audiovisuel & Hi-Fi,Radio-réveil,v_res_fa_radioalrm,100,TRUE
Audiovisuel & Hi-Fi,Télévision à l'ancienne,prop_tv_04,99,TRUE
Audiovisuel & Hi-Fi,Mini radio,sm_prop_smug_radio_01,100,TRUE
Audiovisuel & Hi-Fi,Télévision avec meuble,hei_heist_str_avunitl_01,2500,TRUE
Audiovisuel & Hi-Fi,Station d'accueil iPod,v_res_ipoddock,200,TRUE
Audiovisuel & Hi-Fi,Mélangeur multi-canaux,prop_cctv_cont_05,120,TRUE
Audiovisuel & Hi-Fi,Haut-parleur haut,prop_speaker_01,350,TRUE
Audiovisuel & Hi-Fi,Enorme haut-parleur,stt_prop_speakerstack_01a,450,TRUE
Audiovisuel & Hi-Fi,Télévision support noir & système audio,hei_heist_str_avunits_01,1500,TRUE
Audiovisuel & Hi-Fi,Télévision boîtier argenté,prop_tv_03,350,TRUE
Audiovisuel & Hi-Fi,Petite télévision à l'ancienne,prop_tv_05,400,TRUE
Audiovisuel & Hi-Fi,Projecteur monté,v_res_mountedprojector,300,TRUE
Audiovisuel & Hi-Fi,Télévision écran plat 2,xm_prop_x17_tv_flat_02,500,TRUE
Audiovisuel & Hi-Fi,Haut-parleur marron clair,prop_speaker_02,250,TRUE
Audiovisuel & Hi-Fi,Batterie,sf_prop_sf_drum_kit_01a,1500,TRUE
Audiovisuel & Hi-Fi,Manette de jeu vidéo,prop_controller_01,150,TRUE
Audiovisuel & Hi-Fi,Petit haut-parleur radio,v_res_mm_audio,200,TRUE
Audiovisuel & Hi-Fi,Ancienne console de jeu,xm_prop_gr_console_01,500,TRUE
Audiovisuel & Hi-Fi,Moniteur de scène,v_club_roc_monitor,100,TRUE
Audiovisuel & Hi-Fi,Haut-parleur de scène,sm_prop_smug_speaker,250,TRUE
Audiovisuel & Hi-Fi,Microphone sur pied,v_ilev_fos_mic,150,TRUE
Audiovisuel & Hi-Fi,Haut-parleur moyen marron clair,prop_speaker_03,400,TRUE
Audiovisuel & Hi-Fi,Petit haut-parleur de scène,v_club_roc_cab3,200,TRUE
Audiovisuel & Hi-Fi,Petite télévision avec antenne,prop_tv_test,150,TRUE
Audiovisuel & Hi-Fi,Table de mixage DJ,v_club_vu_deckcase,800,TRUE
Audiovisuel & Hi-Fi,Petite télévision boîtier,prop_tv_02,250,TRUE
Audiovisuel & Hi-Fi,Télévision support blanc & système audio,hei_heist_str_avunitl_03,2000,TRUE
Audiovisuel & Hi-Fi,Télévision avec support métallique,prop_tv_stand_01,300,TRUE
Audiovisuel & Hi-Fi,Petite radio CB,prop_police_radio_main,300,TRUE
Audiovisuel & Hi-Fi,Amplificateur de câble,v_club_roc_cabamp,150,TRUE
Audiovisuel & Hi-Fi,Tablette ZPaPad,xm_prop_x17_sec_panel_01,200,TRUE
Audiovisuel & Hi-Fi,CD de Lorie Collector,v_res_cd,500,TRUE
Audiovisuel & Hi-Fi,Clap de Cinéma,prop_clapper_brd_01,200,TRUE
Audiovisuel & Hi-Fi,Télévision murale,prop_tv_flat_01,800,TRUE
Audiovisuel & Hi-Fi,Boîtier TV numérique,ex_prop_tv_settop_box,200,TRUE
Audiovisuel & Hi-Fi,Panneau de mixage,v_club_roc_mixer1,600,TRUE
Audiovisuel & Hi-Fi,Télévision boîtier moyenne,prop_tv_07,250,TRUE
Audiovisuel & Hi-Fi,Télévision avec système audio,apa_mp_h_str_avunitm_03,1200,TRUE
Audiovisuel & Hi-Fi,Télévision de la Grand mère,prop_tv_01,200,TRUE
Audiovisuel & Hi-Fi,Télévision murale noire - Moyenne,prop_tv_flat_02b,600,TRUE
Audiovisuel & Hi-Fi,Magnétoscope Blanc,v_res_vhsplayer,200,TRUE
Audiovisuel & Hi-Fi,Magnétoscope,prop_vcr_01,200,TRUE
Audiovisuel & Hi-Fi,Caméra TV,prop_tv_cam_02,500,TRUE
Audiovisuel & Hi-Fi,Projecteur ancien,v_ilev_acet_projector,350,TRUE
Audiovisuel & Hi-Fi,Petit haut-parleur,prop_speaker_05,200,TRUE
Audiovisuel & Hi-Fi,Haut-parleur PC,v_res_pcspeaker,99,TRUE
Audiovisuel & Hi-Fi,Table de mixage,v_club_roc_mixer2,500,TRUE
Audiovisuel & Hi-Fi,Télécommande TV - 2,v_res_tt_tvremote,50,TRUE
Audiovisuel & Hi-Fi,Guitare acoustique,sf_prop_sf_acc_guitar_01a,500,TRUE
Audiovisuel & Hi-Fi,Boîte de DVD,prop_cs_dvd_case,25,TRUE
Audiovisuel & Hi-Fi,Haut-parleur noir,prop_speaker_06,450,TRUE
Audiovisuel & Hi-Fi,Télévision murale - Argentée,prop_tv_flat_03b,500,TRUE
Audiovisuel & Hi-Fi,Télévision sur support mobile,xm_prop_x17_tv_stand_01a,400,TRUE
Audiovisuel & Hi-Fi,Télévision avec support plafond,xm_prop_x17_tv_ceiling_01,450,TRUE
Audiovisuel & Hi-Fi,Petit haut-parleur marron clair,prop_speaker_08,200,TRUE
Audiovisuel & Hi-Fi,Télévision murale - petite,prop_tv_flat_03,550,TRUE
Audiovisuel & Hi-Fi,Amplificateur égaliseur,v_club_roc_eq1,250,TRUE
Audiovisuel & Hi-Fi,Grand haut-parleur noir,prop_speaker_07,500,TRUE
Audiovisuel & Hi-Fi,Télévision murale - Moyenne,prop_tv_flat_02,600,TRUE
Audiovisuel & Hi-Fi,Télévision écran plat,xm_prop_x17_tv_flat_01,400,TRUE
Audiovisuel & Hi-Fi,Télévision grand écran avec support plafond,xm_prop_x17_screens_02a,2000,TRUE
Audiovisuel & Hi-Fi,Radio murale,sm_prop_smug_wall_radio_01,120,TRUE
Audiovisuel & Hi-Fi,Câbles,h4_prop_battle_dj_wires_solomon,50,FALSE
Audiovisuel & Hi-Fi,Câbles,h4_prop_battle_dj_wires_madonna,50,FALSE
